Instruction_ID,Instruction,Missing_Tools,Score
123,"- Retrieve the configuration settings for the transformation from KM3 to EMF.
- Retrieve the configu...",list_transformation_KM32EMF_tool,0.50
128,"Show me the configuration settings of the transformation that converts KM3 to EMF, then show me the ...",list_transformation_KM32EMF_tool,0.50
130,Retrieve the configuration for the transformation from KM3 to EMF. Inspect the configuration for the...,list_transformation_KM32EMF_tool,0.50
132,"Get the configuration of the KM3-to-EMF transformation.

Apply the KM3-to-Metrics transformation to ...",list_transformation_KM32EMF_tool,0.50
138,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi into an EMF ...,apply_KM32EMF_transformation_tool,0.50
143,Transform the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to an EMF ...,apply_KM32EMF_transformation_tool,0.50
146,"Show me the configuration settings of the transformation that converts KM3 to EMF.
Show me the confi...",list_transformation_KM32EMF_tool | list_transformation_Make2Ant_tool,0.00
148,"1. Get configuration details for the KM3-to-DSL and XML-to-Ant transformations.
2. Apply to /Users/z...",apply_XML2Ant_transformation_tool,0.50
156,Convert the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to the EMF mod...,apply_KM32EMF_transformation_tool,0.50
158,"Get the configuration of the KM3 to EMF transformation, then get the configuration of the XML to MyS...",list_transformation_KM32EMF_tool,0.50
162,Apply the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to EMF model a...,apply_KM32EMF_transformation_tool,0.50
163,"Retrieve the configuration settings of the transformation from KM3 to EMF, then retrieve the configu...",list_transformation_KM32EMF_tool,0.50
166,Show the configuration of the transformation that converts KM3 to EMF. Then inspect the configuratio...,list_transformation_KM32EMF_tool,0.50
168,Apply the KM3 model located at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EM...,apply_KM32EMF_transformation_tool,0.50
170,"Get the configuration of the transformation KM3 to EMF.
Apply the PetriNet to PathExp transformation...",list_transformation_KM32EMF_tool,0.50
172,Transform the KM3 model at path /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi into an...,apply_KM32EMF_transformation_tool,0.50
173,"Retrieve the configuration of the KM3-to-EMF transformation, and then retrieve the configuration of ...",list_transformation_KM32EMF_tool,0.50
174,"Get the configuration settings of the first transformation that converts KM3 to EMF, then get the co...",list_transformation_KM32EMF_tool,0.00
175,Transform the model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi into an EMF mode...,apply_KM32EMF_transformation_tool,0.50
177,Retrieve the configuration settings of the KM3 to EMF transformation and retrieve the configuration ...,list_transformation_KM32EMF_tool,0.50
179,Apply the KM3 to EMF transformation to '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi...,list_transformation_MySQL2KM3_tool | apply_KM32EMF_transformation_tool,0.00
182,"Retrieve the configuration of the KM3-to-EMF transformation
Retrieve the configuration of the PNML-t...",list_transformation_KM32EMF_tool,0.50
183,Transform the KM3 model at path /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an E...,apply_KM32EMF_transformation_tool,0.50
189,Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi to an EMF mo...,apply_KM32EMF_transformation_tool,0.50
191,"Get the configuration of the KM3-to-EMF transformation.
Apply the XML-to-RSS transformation to '/Use...",list_transformation_KM32EMF_tool,0.50
193,Transform the KM3 model at '/Users/zakariahachm/Downloads/atl_zoo/KM32EMF/Sample-KM3.xmi' to an EMF ...,apply_KM32EMF_transformation_tool,0.50
194,"Get the configuration settings of the transformation that converts PNML to XML.
Get the configuratio...",list_transformation_Families2Persons_tool,0.50
198,"Show me the configuration settings of the KM3-to-DSL transformation, and then show me the configurat...",list_transformation_KM32EMF_tool,0.50
200,- Transform the KM3 model at /Users/zakariahachm/Downloads/atl_zoo/DSLBridge/MetamodelBridge/Models/...,apply_XML2Ant_transformation_tool,0.50
SUMMARY,Transformations with issues (>3 times),KM32EMF(39),
ALL_MISSING_TOOLS,Unique missing tools across all failures,apply_Families2Persons_transformation_tool | apply_KM32EMF_transformation_tool | apply_Make2Ant_transformation_tool | apply_XML2Ant_transformation_tool | list_transformation_Families2Persons_tool | list_transformation_KM32DSL_tool | list_transformation_KM32EMF_tool | list_transformation_Make2Ant_tool | list_transformation_MySQL2KM3_tool,
